"pmid";"value"
32950268;"Journal Article"
32951279;"Journal Article"
32950685;"Journal Article"
32950097;"Letter"
32950879;"Journal Article"
32951095;"Letter"
32950986;"Journal Article"
32942198;"Journal Article"
32950924;"Journal Article"
32943518;"Letter"
32946904;"Letter"
32942170;"Letter"
32950697;"Journal Article"
32950093;"Letter"
32945609;"Letter"
32948484;"Journal Article"
32950075;"Journal Article"
32951037;"Journal Article"
32939576;"Journal Article"
32940347;"Letter"
32946812;"Editorial"
32948121;"Journal Article"
32951064;"Journal Article"
32948990;"Journal Article"
32945638;"Journal Article"
32950100;"Letter"
32950101;"Letter"
32948490;"Letter"
32948493;"Journal Article"
32942796;"Journal Article"
32946801;"Journal Article"
32951244;"Journal Article"
32941709;"Journal Article"
32946205;"Editorial"
32946370;"Journal Article"
32950845;"Letter"
32950775;"Letter"
32950738;"Journal Article"
32951346;"Letter"
32950094;"Letter"
32949289;"Journal Article"
32950328;"English Abstract"
32948773;"Journal Article"
32944581;"Journal Article"
32950514;"Journal Article"
32944087;"Journal Article"
32942794;"Journal Article"
32943631;"Journal Article"
32947121;"Journal Article"
32942809;"Letter"
32941222;"Journal Article"
32950309;"Journal Article"
32950067;"Journal Article"
32939441;"Journal Article"
32946592;"Journal Article"
32941641;"Journal Article"
32939188;"Journal Article"
32950096;"Letter"
32950079;"Journal Article"
32950466;"Journal Article"
32950177;"Journal Article"
32950044;"Journal Article"
32938298;"Journal Article"
32950975;"Journal Article"
32950305;"Journal Article"
32950851;"Journal Article"
32942785;"Journal Article"
32951151;"Journal Article"
32940155;"Journal Article"
32940676;"Journal Article"
32951258;"Journal Article"
32943297;"Journal Article"
32950749;"Journal Article"
32939109;"Journal Article"
32950999;"Journal Article"
32951300;"Journal Article"
32948537;"Journal Article"
32950470;"Letter"
32951286;"Journal Article"
32950734;"Journal Article"
32939076;"Published Erratum"
32943872;"Journal Article"
32950502;"Journal Article"
32950884;"Journal Article"
32950739;"Journal Article"
32950410;"Journal Article"
32950981;"Journal Article"
32941977;"Journal Article"
32951235;"Editorial"
32951042;"Journal Article"
32941186;"Journal Article"
32938609;"Journal Article"
32950731;"Editorial"
32948341;"Journal Article"
32951285;"Journal Article"
32951033;"Journal Article"
32960899;"Journal Article"
32971100;"Journal Article"
32963090;"Journal Article"
32969591;"Journal Article"
32986225;"Journal Article"
32952972;"Journal Article"
32997092;"Journal Article"
32994625;"Journal Article"
32972305;"Journal Article"
33003194;"Journal Article"
32972339;"Journal Article"
32952812;"Letter"
32956813;"Journal Article"
33003105;"Journal Article"
32961061;"Journal Article"
32998156;"Journal Article"
32989376;"Journal Article"
32972778;"Journal Article"
32953967;"Journal Article"
33003250;"Letter"
32981539;"Journal Article"
32958467;"Journal Article"
32986500;"News"
32974353;"Journal Article"
32969951;"Journal Article"
32961360;"Journal Article"
33001375;"Published Erratum"
32977776;"Journal Article"
32969711;"Editorial"
32954020;"Case Reports"
32969942;"Journal Article"
32989980;"Journal Article"
32974230;"Journal Article"
32965009;"Journal Article"
32969029;"Journal Article"
32986538;"Editorial"
33000728;"Journal Article"
32959804;"Journal Article"
32958625;"Letter"
32971606;"Editorial"
32952388;"Journal Article"
32988212;"Journal Article"
32969135;"Editorial"
32986118;"Journal Article"
32985162;"Journal Article"
32969304;"Journal Article"
32955901;"Journal Article"
33003169;"Journal Article"
32970134;"Journal Article"
32989012;"Journal Article"
32979553;"Journal Article"
32958495;"Journal Article"
32953124;"Journal Article"
32984790;"Journal Article"
32998094;"Letter"
32967442;"Letter"
33002975;"Journal Article"
32979226;"Journal Article"
32969843;"Journal Article"
32999636;"Journal Article"
32964179;"Journal Article"
32971608;"Editorial"
32975842;"Journal Article"
32966484;"Journal Article"
32987574;"Journal Article"
32976133;"Journal Article"
32984849;"Journal Article"
32998303;"Journal Article"
32981902;"English Abstract"
32986981;"Journal Article"
32990019;"Journal Article"
32952595;"Journal Article"
32964210;"Journal Article"
32952079;"Journal Article"
32976364;"Journal Article"
32994213;"Letter"
32974663;"Journal Article"
32957585;"Journal Article"
32987548;"Journal Article"
33000716;"Journal Article"
32987023;"Case Reports"
32989677;"Journal Article"
32994061;"Letter"
32970139;"Journal Article"
32990954;"Letter"
32995866;"Journal Article"
32969772;"Journal Article"
32984828;"Journal Article"
32990737;"Journal Article"
32954015;"Journal Article"
32965669;"Case Reports"
32981653;"Editorial"
32975825;"Journal Article"
32966582;"Journal Article"
32968599;"Case Reports"
32999543;"Journal Article"
32978281;"Journal Article"
32975487;"Journal Article"
32984404;"Case Reports"
33002549;"Journal Article"
32969118;"Letter"
32975191;"Journal Article"
32986798;"Journal Article"
32988964;"Journal Article"
32955676;"Letter"
32991426;"Journal Article"
33001832;"Journal Article"
32958466;"Letter"
32986631;"Journal Article"
32967786;"Journal Article"
32989408;"Journal Article"
32993690;"Journal Article"
32979298;"Journal Article"
33001320;"Letter"
32971472;"Journal Article"
32965360;"Journal Article"
32964076;"Journal Article"
32965357;"Journal Article"
32965369;"Journal Article"
32982162;"Journal Article"
32952147;"Journal Article"
32998491;"Journal Article"
32964653;"Journal Article"
32960254;"Journal Article"
32971008;"Journal Article"
32956447;"Journal Article"
32983888;"Case Reports"
32984864;"Journal Article"
32979294;"Journal Article"
32956724;"Letter"
32997488;"Journal Article"
32962855;"Letter"
32966269;"Journal Article"
32975576;"Journal Article"
32997322;"Journal Article"
32980145;"Letter"
32994190;"Journal Article"
32954605;"Journal Article"
32978344;"Journal Article"
32951656;"Letter"
32970563;"Journal Article"
32998942;"Journal Article"
32997860;"Letter"
32993652;"Journal Article"
32978651;"Journal Article"
32960880;"Journal Article"
32981665;"Letter"
32989407;"Case Reports"
32953990;"Journal Article"
32984768;"Journal Article"
32965351;"Journal Article"
32958781;"Journal Article"
32997347;"Letter"
32987008;"Journal Article"
32969707;"Journal Article"
32998337;"Journal Article"
33000018;"Journal Article"
32972766;"Journal Article"
32977818;"Journal Article"
33003024;"Journal Article"
32983830;"Journal Article"
32960480;"Journal Article"
32989830;"Editorial"
32978338;"Editorial"
32991819;"Journal Article"
32966155;"Journal Article"
32980748;"Journal Article"
32971153;"Journal Article"
32979308;"Journal Article"
32952807;"Case Reports"
32983654;"Case Reports"
32958988;"Journal Article"
32959803;"Journal Article"
32959507;"Letter"
32955991;"Journal Article"
32960282;"Journal Article"
32975194;"Journal Article"
32984838;"Journal Article"
32987712;"Journal Article"
32971105;"Journal Article"
32987585;"Journal Article"
32988765;"Case Reports"
32976756;"Editorial"
33001040;"Journal Article"
32995705;"Case Reports"
32954690;"Journal Article"
32969605;"Journal Article"
32986683;"Journal Article"
32979666;"Journal Article"
32955715;"Editorial"
32989431;"Journal Article"
32956554;"Letter"
32994158;"Journal Article"
32992058;"Journal Article"
32999432;"Letter"
32978611;"News"
32984442;"Journal Article"
32971122;"Journal Article"
32957032;"Journal Article"
32997560;"Journal Article"
32993821;"Journal Article"
32985333;"Journal Article"
32967017;"Editorial"
32980491;"Letter"
32986819;"Journal Article"
32962975;"Journal Article"
32963907;"Case Reports"
33000934;"Journal Article"
32975921;"Journal Article"
32985841;"Journal Article"
32970560;"Journal Article"
32952711;"Editorial"
32986136;"Journal Article"
32971042;"Journal Article"
32952320;"Journal Article"
32981889;"Journal Article"
33001589;"Journal Article"
32990080;"Journal Article"
32952270;"Journal Article"
32980083;"Journal Article"
32960319;"Journal Article"
32963884;"Journal Article"
32953436;"Journal Article"
32988647;"Editorial"
32966824;"Editorial"
32963357;"Journal Article"
32989598;"Journal Article"
32952264;"Editorial"
32992014;"Journal Article"
32988420;"Journal Article"
32956730;"Journal Article"
32983174;"Journal Article"
32959052;"Journal Article"
32963425;"Editorial"
32973116;"Journal Article"
32954211;"Journal Article"
32953956;"Journal Article"
32963024;"Journal Article"
32958581;"Journal Article"
32956664;"Journal Article"
32989997;"Journal Article"
32979191;"Letter"
32958985;"Journal Article"
32982134;"Journal Article"
32952617;"Journal Article"
32972218;"Journal Article"
32979667;"Journal Article"
32958580;"Journal Article"
33000648;"Journal Article"
32996727;"Journal Article"
32989903;"Journal Article"
33002210;"Letter"
32976500;"Journal Article"
32969607;"Journal Article"
32994675;"Editorial"
32973665;"Case Reports"
32990118;"Journal Article"
32977956;"Letter"
32980266;"Case Reports"
32978341;"Journal Article"
32978702;"Journal Article"
32999011;"Journal Article"
32982500;"Journal Article"
32977568;"Journal Article"
32994257;"Journal Article"
32961082;"Journal Article"
32972853;"Journal Article"
32951678;"Editorial"
32983308;"Case Reports"
32964233;"Journal Article"
32993833;"Journal Article"
32959497;"Journal Article"
32974228;"Journal Article"
32988797;"Journal Article"
32952190;"Journal Article"
32955421;"Journal Article"
32989996;"Journal Article"
32978934;"Journal Article"
32989986;"Journal Article"
32997121;"Journal Article"
32971254;"Journal Article"
32979139;"Journal Article"
32966656;"Letter"
32973066;"Journal Article"
33002281;"Letter"
32983141;"Journal Article"
32952823;"Journal Article"
32954710;"Comparative Study"
33001378;"Journal Article"
32997958;"Journal Article"
32976055;"Journal Article"
33000612;"Letter"
32953993;"Journal Article"
32976850;"Letter"
32989382;"Journal Article"
32997512;"Journal Article"
32967591;"Journal Article"
32972991;"Journal Article"
32982575;"Journal Article"
32953239;"Journal Article"
32952302;"Journal Article"
32954047;"Journal Article"
32965524;"Published Erratum"
32971239;"Journal Article"
32967846;"Journal Article"
32991879;"Journal Article"
32967024;"Letter"
32959031;"Journal Article"
32980842;"Case Reports"
32969365;"Case Reports"
32985397;"Journal Article"
32984743;"Case Reports"
32975585;"Published Erratum"
32961114;"Editorial"
32996453;"Journal Article"
32987764;"Journal Article"
32997641;"Journal Article"
32967116;"Comparative Study"
32995494;"Journal Article"
32976196;"Journal Article"
32982366;"Journal Article"
32998863;"Journal Article"
32991675;"Journal Article"
32952535;"English Abstract"
33003197;"Journal Article"
32954351;"Journal Article"
32958577;"Journal Article"
32972121;"Journal Article"
32994348;"Journal Article"
32966720;"Journal Article"
32978297;"Journal Article"
32971027;"Editorial"
32997077;"Editorial"
32982846;"Journal Article"
32967784;"Letter"
32978238;"Journal Article"
32951994;"Journal Article"
32986089;"Journal Article"
33002725;"Journal Article"
32998038;"Journal Article"
32957323;"Journal Article"
32964551;"Journal Article"
32965403;"Journal Article"
32954212;"Journal Article"
32961115;"Editorial"
32980258;"Journal Article"
32984400;"Journal Article"
32992355;"Journal Article"
32981525;"Journal Article"
32954247;"Journal Article"
32981180;"Journal Article"
32978962;"Journal Article"
32986137;"Journal Article"
32952178;"Journal Article"
32951890;"Journal Article"
32965362;"Journal Article"
32969950;"Journal Article"
32997700;"Journal Article"
32985700;"Editorial"
32965173;"Journal Article"
32982865;"Published Erratum"
32964542;"Journal Article"
32957696;"Editorial"
32962731;"Journal Article"
32960253;"Journal Article"
32964619;"Letter"
32983734;"Case Reports"
32959538;"Letter"
32984788;"Journal Article"
32975561;"Journal Article"
32955576;"Journal Article"
32953123;"Journal Article"
33002712;"Letter"
33000727;"English Abstract"
32962560;"Journal Article"
32991945;"Journal Article"
32990312;"Journal Article"
32972298;"Journal Article"
32999950;"Journal Article"
32952047;"Case Reports"
32959622;"Journal Article"
32953741;"Journal Article"
32954708;"Journal Article"
32979328;"Journal Article"
32991966;"Journal Article"
32994041;"Journal Article"
32952814;"Case Reports"
33002818;"Letter"
32982082;"Journal Article"
32960256;"Journal Article"
33003040;"Journal Article"
32959021;"Journal Article"
32998036;"Letter"
32983927;"Journal Article"
32960681;"Editorial"
32975183;"Journal Article"
32954046;"Journal Article"
32979601;"Journal Article"
32990980;"Journal Article"
32974926;"Journal Article"
32982108;"Journal Article"
32997705;"Journal Article"
32989413;"Journal Article"
32994601;"Journal Article"
32967639;"Journal Article"
32953091;"Journal Article"
32965508;"Journal Article"
32970895;"Letter"
32955100;"Journal Article"
32989018;"Journal Article"
32962779;"Journal Article"
32973632;"Journal Article"
32979916;"Journal Article"
32969340;"Journal Article"
32996705;"Journal Article"
32953385;"Journal Article"
32980406;"Journal Article"
33001345;"Editorial"
32960167;"English Abstract"
32970653;"Journal Article"
32982205;"Journal Article"
32999777;"Journal Article"
32983836;"Journal Article"
32970974;"Journal Article"
32978180;"Journal Article"
32955785;"Journal Article"
32986230;"Journal Article"
32995051;"Journal Article"
32985562;"Journal Article"
32998066;"Journal Article"
32989424;"Journal Article"
32961275;"Editorial"
32965559;"Journal Article"
32964918;"Journal Article"
32982514;"Journal Article"
32982806;"Journal Article"
32958417;"Journal Article"
32988731;"Journal Article"
32983570;"Journal Article"
32965012;"Journal Article"
32987584;"Journal Article"
32996784;"Journal Article"
32984987;"Journal Article"
32983652;"Journal Article"
32998292;"Journal Article"
32997788;"Journal Article"
32973815;"Journal Article"
32973590;"Journal Article"
32952316;"Journal Article"
32959711;"Journal Article"
32958395;"Journal Article"
32965444;"Journal Article"
32998368;"Journal Article"
32959007;"Journal Article"
32995967;"Editorial"
32984911;"Journal Article"
32954371;"Editorial"
32967693;"Journal Article"
32975052;"Journal Article"
32974227;"Journal Article"
32999040;"Journal Article"
32972934;"Journal Article"
32987547;"Journal Article"
32982903;"Journal Article"
32952249;"Journal Article"
32961572;"Journal Article"
32968484;"Journal Article"
32994886;"Journal Article"
32998644;"Letter"
32952596;"Journal Article"
32979193;"Journal Article"
32959627;"Journal Article"
32997333;"Journal Article"
32968776;"Journal Article"
32984255;"Journal Article"
32976369;"Letter"
32956735;"Letter"
32997807;"Journal Article"
32952981;"Case Reports"
32985703;"Journal Article"
32990661;"Journal Article"
32952517;"Journal Article"
32970552;"Letter"
32985322;"Journal Article"
32999494;"Journal Article"
32980781;"Editorial"
32979617;"Journal Article"
32962092;"Journal Article"
32977506;"Published Erratum"
32985915;"Journal Article"
32991395;"Journal Article"
32957889;"Journal Article"
32992361;"Journal Article"
32974109;"Journal Article"
32970836;"Letter"
32967887;"Journal Article"
32977728;"Journal Article"
32976026;"Journal Article"
32960938;"Journal Article"
33000116;"Journal Article"
33002931;"Journal Article"
32953994;"Case Reports"
32978766;"Journal Article"
32960252;"Journal Article"
32977632;"Journal Article"
32983237;"Journal Article"
32966610;"Journal Article"
33000462;"Letter"
32962613;"Journal Article"
32980345;"Journal Article"
32999063;"Journal Article"
32997642;"Journal Article"
32952213;"Journal Article"
32976132;"Journal Article"
32995559;"Journal Article"
32996563;"Journal Article"
32963432;"Journal Article"
32969120;"Letter"
32963581;"Journal Article"
32980714;"Journal Article"
32984890;"Journal Article"
32956236;"Journal Article"
32956342;"Journal Article"
32989995;"Journal Article"
32976572;"Journal Article"
32911055;"Journal Article"
32990736;"Journal Article"
32963440;"Journal Article"
32979249;"Journal Article"
32996907;"Editorial"
32980627;"Case Reports"
33000141;"Journal Article"
32969235;"Case Reports"
32972277;"Journal Article"
32983618;"Journal Article"
32989348;"Journal Article"
32997542;"Journal Article"
32995668;"Journal Article"
33001237;"Journal Article"
32963216;"Journal Article"
32963632;"Journal Article"
32997331;"Journal Article"
32990735;"Journal Article"
32972561;"Journal Article"
32958905;"Journal Article"
32976592;"Letter"
32965358;"Journal Article"
32989032;"Journal Article"
32978167;"Journal Article"
32981662;"Journal Article"
32979369;"Journal Article"
32976894;"Letter"
32980080;"Editorial"
32977136;"Letter"
32995369;"Case Reports"
32987750;"Journal Article"
32961074;"Journal Article"
32997123;"Journal Article"
32982563;"Journal Article"
32970733;"Journal Article"
32953949;"Journal Article"
32952417;"Editorial"
32989856;"Journal Article"
32953971;"Journal Article"
32951919;"Journal Article"
32952248;"Journal Article"
32995388;"Journal Article"
32982921;"Journal Article"
32988427;"Journal Article"
32981388;"Editorial"
32972967;"Journal Article"
32952101;"Journal Article"
32965024;"Journal Article"
32964535;"Journal Article"
32968420;"Journal Article"
32990479;"Journal Article"
32957107;"Editorial"
32962001;"Journal Article"
32964483;"Journal Article"
32951564;"Journal Article"
32973076;"Journal Article"
32967126;"Journal Article"
32969531;"Journal Article"
32988653;"Letter"
32951475;"Journal Article"
32952494;"Journal Article"
32998039;"Letter"
32995758;"Journal Article"
32952468;"Journal Article"
32973098;"Journal Article"
32983395;"Journal Article"
32980018;"Journal Article"
33003176;"Journal Article"
32965712;"Journal Article"
32997373;"Journal Article"
32972979;"Journal Article"
32987182;"Journal Article"
32960246;"Journal Article"
32986534;"Journal Article"
32994664;"Journal Article"
32976191;"Journal Article"
32996710;"Letter"
32965373;"Journal Article"
32977063;"Journal Article"
32976823;"Journal Article"
32984541;"Journal Article"
32959709;"Journal Article"
32965311;"Case Reports"
32997320;"Letter"
32980137;"Journal Article"
32994260;"Journal Article"
32976513;"Journal Article"
32959032;"Journal Article"
32967850;"Journal Article"
32992105;"Journal Article"
32985201;"Journal Article"
32981460;"Journal Article"
32966232;"Journal Article"
32978832;"Journal Article"
32969721;"Journal Article"
32978778;"Journal Article"
32987541;"Journal Article"
32990918;"Letter"
32953290;"Case Reports"
32971407;"Letter"
32953458;"Journal Article"
32984861;"Journal Article"
32974374;"Case Reports"
32983172;"Journal Article"
33000534;"Journal Article"
32959618;"Journal Article"
32958372;"Journal Article"
32970558;"Journal Article"
32967549;"Journal Article"
33002209;"Journal Article"
32964896;"Journal Article"
32992807;"Journal Article"
32959788;"Journal Article"
32997657;"Journal Article"
32987828;"Journal Article"
32990239;"Journal Article"
32959006;"Journal Article"
32953977;"Journal Article"
32997724;"Journal Article"
32956989;"Journal Article"
32978309;"Journal Article"
32978802;"Journal Article"
32997719;"Journal Article"
32963312;"Letter"
32971756;"Comparative Study"
32981508;"Journal Article"
32969761;"Journal Article"
32993405;"Journal Article"
32986274;"Journal Article"
32978255;"Journal Article"
32972411;"Letter"
32971023;"Editorial"
33003155;"Journal Article"
32977854;"Journal Article"
32958060;"Letter"
32985312;"Letter"
32969842;"Journal Article"
32984235;"Journal Article"
32983724;"Case Reports"
32995557;"Journal Article"
32967022;"Journal Article"
32985374;"Journal Article"
32966592;"Journal Article"
32952438;"Journal Article"
33000468;"Journal Article"
32963540;"Journal Article"
32982895;"Journal Article"
32970786;"Journal Article"
32978213;"Journal Article"
32953955;"Journal Article"
32978358;"Journal Article"
32956130;"Journal Article"
32983898;"Journal Article"
32994259;"Journal Article"
32978602;"Journal Article"
32983106;"Journal Article"
32984209;"Journal Article"
32972291;"Letter"
32996856;"Journal Article"
32971147;"Journal Article"
32993804;"Letter"
32970047;"Journal Article"
32962462;"Journal Article"
32935910;"Letter"
32963672;"Journal Article"
32980956;"Journal Article"
32968075;"Comparative Study"
32988604;"Journal Article"
32980783;"Journal Article"
32990089;"Journal Article"
33001329;"Journal Article"
32963790;"Journal Article"
32974375;"Journal Article"
32961149;"Editorial"
32970479;"Journal Article"
32983416;"Journal Article"
32981609;"Letter"
32994117;"Letter"
32955953;"Letter"
32987097;"Journal Article"
33000112;"Journal Article"
32962157;"Journal Article"
32981843;"Case Reports"
32953633;"Journal Article"
32971604;"Journal Article"
32977571;"Journal Article"
32965779;"Case Reports"
32958554;"Case Reports"
32965677;"Journal Article"
32958983;"Journal Article"
32978643;"Letter"
32998780;"Journal Article"
32984501;"Journal Article"
32959547;"Journal Article"
32968681;"Journal Article"
32959740;"Journal Article"
32980983;"Journal Article"
32970861;"Journal Article"
32988371;"Journal Article"
32997739;"Journal Article"
32976961;"Letter"
32965355;"Journal Article"
32970745;"Journal Article"
32985160;"Journal Article"
32991842;"Journal Article"
32970329;"Journal Article"
32986120;"Journal Article"
32988957;"Journal Article"
32948602;"Letter"
33000510;"Letter"
32997640;"Journal Article"
32972463;"Journal Article"
32972287;"Journal Article"
32981335;"Journal Article"
32955557;"Journal Article"
32987098;"Letter"
32963819;"Journal Article"
32978579;"Journal Article"
32991794;"Journal Article"
32997699;"Journal Article"
32995920;"Journal Article"
32987794;"Journal Article"
33003240;"Journal Article"
33001967;"Journal Article"
32953870;"Case Reports"
32998512;"Journal Article"
32952533;"English Abstract"
32965332;"Journal Article"
32983701;"Journal Article"
32968798;"Journal Article"
33003190;"Letter"
32961117;"Editorial"
32959948;"Journal Article"
32956010;"Journal Article"
32999730;"Journal Article"
32999738;"Journal Article"
32989416;"Journal Article"
32989332;"Journal Article"
32958435;"Letter"
32979593;"Journal Article"
32999264;"Journal Article"
32965736;"Journal Article"
32972644;"Journal Article"
32991866;"Journal Article"
32966561;"Journal Article"
32985024;"Journal Article"
32994197;"Letter"
32989715;"Letter"
32965395;"Journal Article"
32996786;"Editorial"
32978104;"Journal Article"
32985537;"Journal Article"
32974047;"Editorial"
32990278;"Journal Article"
32953400;"Journal Article"
32996441;"Journal Article"
32998645;"Journal Article"
32990999;"Letter"
32964485;"Journal Article"
32954427;"Journal Article"
32965077;"Letter"
32953197;"Journal Article"
32968487;"Journal Article"
32982938;"Journal Article"
32985002;"Journal Article"
32966633;"Journal Article"
33001008;"Journal Article"
32983891;"Case Reports"
32987508;"Journal Article"
32989838;"Journal Article"
32956612;"Journal Article"
32954532;"Journal Article"
32965353;"Journal Article"
32959015;"Journal Article"
33002954;"Journal Article"
32983275;"Editorial"
32998524;"Journal Article"
32995140;"Journal Article"
32965397;"Journal Article"
33000518;"Journal Article"
32990082;"Letter"
32997045;"Editorial"
32969975;"Journal Article"
32995704;"Journal Article"
32959411;"Journal Article"
32990156;"Journal Article"
32959968;"Letter"
32974384;"Journal Article"
32961274;"Journal Article"
32982925;"Journal Article"
32960148;"Journal Article"
32982038;"Journal Article"
32970543;"Journal Article"
32969973;"Journal Article"
32984561;"Journal Article"
32999184;"Journal Article"
32960247;"Journal Article"
32976188;"Journal Article"
32994924;"Journal Article"
32959400;"Journal Article"
32995757;"Journal Article"
32955079;"Journal Article"
32971326;"Journal Article"
32953294;"Journal Article"
33003102;"Journal Article"
32970452;"Editorial"
32984363;"Journal Article"
32952182;"Journal Article"
32980878;"Journal Article"
32960122;"Letter"
32987222;"Journal Article"
32965014;"Journal Article"
32952254;"Journal Article"
32983862;"Case Reports"
32952393;"Journal Article"
32978235;"Letter"
32997743;"Journal Article"
32963239;"Journal Article"
32991730;"Journal Article"
32988442;"Journal Article"
32963923;"Journal Article"
32962933;"Case Reports"
32982089;"Journal Article"
32973583;"Journal Article"
32956616;"Letter"
32962764;"Journal Article"
32953347;"Case Reports"
32978039;"Journal Article"
32973920;"Journal Article"
32965726;"Journal Article"
32982188;"Journal Article"
32952967;"Journal Article"
32996311;"Journal Article"
32956994;"Letter"
32953307;"Case Reports"
32985017;"Journal Article"
32975564;"Journal Article"
32965454;"Journal Article"
32953732;"Journal Article"
32977578;"Journal Article"
32987501;"Journal Article"
32970367;"Journal Article"
33000515;"Letter"
32986475;"Journal Article"
32972503;"Comparative Study"
32991378;"Journal Article"
32984892;"Journal Article"
32954522;"Letter"
32952537;"Journal Article"
32958987;"Journal Article"
32969846;"Journal Article"
32985430;"Journal Article"
32969406;"Case Reports"
32955610;"English Abstract"
32979118;"Journal Article"
32972994;"Journal Article"
32997683;"Journal Article"
32957851;"Journal Article"
32978861;"Journal Article"
32985329;"Journal Article"
32970547;"Journal Article"
33000931;"Journal Article"
32969068;"Editorial"
32989729;"Journal Article"
32967547;"Journal Article"
32955802;"Journal Article"
32962052;"Journal Article"
32958227;"Journal Article"
32978933;"Journal Article"
32961545;"Journal Article"
32965025;"Journal Article"
32954794;"Journal Article"
32992176;"Journal Article"
32965376;"Journal Article"
32979985;"Journal Article"
32984862;"Journal Article"
32977227;"Letter"
32952690;"Editorial"
32983831;"Editorial"
32957997;"Comparative Study"
32991235;"Journal Article"
33000107;"Journal Article"
32960929;"Journal Article"
32990864;"Journal Article"
32979612;"Letter"
32981925;"Journal Article"
32971578;"Journal Article"
32968307;"Journal Article"
33001200;"Journal Article"
32996847;"Journal Article"
32991860;"Journal Article"
32986989;"Journal Article"
32964853;"Letter"
33001839;"Journal Article"
32951577;"Journal Article"
32973171;"Journal Article"
33001830;"Journal Article"
32991038;"Journal Article"
33001836;"Journal Article"
32997448;"Journal Article"
32959470;"Journal Article"
32955670;"Journal Article"
32993744;"Letter"
33001481;"Editorial"
32968673;"Journal Article"
32997521;"Journal Article"
32981003;"Journal Article"
32931229;"Letter"
32996110;"Editorial"
32988694;"Letter"
32976111;"Journal Article"
32979917;"Journal Article"
33000616;"Journal Article"
32992752;"Journal Article"
32992201;"Case Reports"
33002615;"Letter"
32959042;"Journal Article"
32994343;"Journal Article"
32972861;"Journal Article"
32978232;"Journal Article"
32980153;"Journal Article"
32977131;"Letter"
32979574;"Journal Article"
32983415;"Editorial"
32964684;"Journal Article"
32980942;"Journal Article"
32963443;"Journal Article"
32962771;"Journal Article"
32982059;"Journal Article"
32981442;"Journal Article"
32984234;"Journal Article"
32981462;"Journal Article"
32962974;"Journal Article"
32951804;"Journal Article"
32971017;"Journal Article"
32993622;"Journal Article"
32989427;"Journal Article"
32978932;"Journal Article"
32971150;"Journal Article"
33003257;"Letter"
32986516;"Journal Article"
32958470;"Editorial"
32993524;"Journal Article"
32991148;"Journal Article"
32994042;"Editorial"
32986122;"Journal Article"
33001626;"Journal Article"
32979456;"Journal Article"
32974268;"Journal Article"
32965402;"Journal Article"
32960248;"Journal Article"
32996680;"Letter"
32991870;"Journal Article"
32994704;"Journal Article"
32954421;"Journal Article"
32989414;"Case Reports"
32985971;"Journal Article"
32974253;"Journal Article"
32999287;"Journal Article"
32981116;"Journal Article"
32965345;"Letter"
32969160;"Journal Article"
32965015;"Journal Article"
32984929;"Journal Article"
32978531;"Journal Article"
32982888;"Journal Article"
32997114;"Journal Article"
32984387;"Journal Article"
32992013;"Journal Article"
32998937;"Journal Article"
32959004;"Journal Article"
32956149;"Journal Article"
32984567;"Journal Article"
32973527;"Journal Article"
32957305;"Journal Article"
32997930;"Editorial"
32993335;"Journal Article"
32986928;"Journal Article"
32992681;"Journal Article"
32994822;"Journal Article"
32956851;"Letter"
32959951;"Journal Article"
32962172;"Journal Article"
32998982;"Journal Article"
32963115;"Journal Article"
32991069;"Journal Article"
32970595;"Journal Article"
33002522;"Journal Article"
32989130;"Journal Article"
32958397;"Journal Article"
32972631;"Journal Article"
32993455;"Journal Article"
32981233;"Letter"
32974260;"Journal Article"
33001831;"Journal Article"
32981671;"Journal Article"
32971210;"Journal Article"
32970927;"Letter"
32965399;"Journal Article"
33000221;"Journal Article"
32960504;"Journal Article"
32972450;"Editorial"
32961675;"Journal Article"
33013079;"Journal Article"
33028002;"Journal Article"
33014337;"Journal Article"
33007820;"Journal Article"
33024075;"Letter"
33001430;"Journal Article"
33008379;"Journal Article"
32967236;"Journal Article"
32988991;"Journal Article"
32975809;"Letter"
33014806;"Journal Article"
32983849;"Journal Article"
33019971;"Editorial"
32958069;"Case Reports"
32969974;"Journal Article"
32964165;"Journal Article"
32959717;"Journal Article"
32978237;"Journal Article"
32997507;"Journal Article"
33007225;"Journal Article"
32965400;"Journal Article"
33031763;"Letter"
32959001;"Journal Article"
33015866;"Letter"
33011281;"Journal Article"
32975390;"Journal Article"
33026344;"Journal Article"
33006943;"Journal Article"
32971478;"Journal Article"
32978112;"Letter"
32992602;"Journal Article"
32984642;"Journal Article"
32971020;"Letter"
33027580;"Editorial"
33024598;"Editorial"
32965525;"Journal Article"
33017175;"Journal Article"
33015403;"Journal Article"
32980371;"Journal Article"
33024096;"Journal Article"
33017826;"Journal Article"
32987104;"Letter"
33014704;"Case Reports"
32956181;"Journal Article"
32984206;"Journal Article"
32998145;"Journal Article"
32991105;"Journal Article"
32973526;"Journal Article"
32982359;"Journal Article"
33014624;"Journal Article"
32959495;"Letter"
33010832;"Letter"
32969400;"Journal Article"
32978311;"Journal Article"
33016027;"Editorial"
32967479;"Journal Article"
33015615;"Journal Article"
32980021;"Journal Article"
32978920;"Journal Article"
33024569;"Journal Article"
33028562;"Journal Article"
32971906;"Journal Article"
33011008;"Journal Article"
32954706;"Letter"
32959115;"Journal Article"
33014484;"Case Reports"
32979815;"Journal Article"
